Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Montenegro,Europe,234246,37296.636,490,78.018,32,2709,431.327,3,0.478,0
Luxembourg,Europe,229311,36624.831,3749,598.778,0,1054,168.342,4,0.639,0
Kosovo[1],Europe,227834,12687.994,120,6.683,16,3128,174.197,0,0,0
Mozambique,Africa,225331,720.934,35,0.112,2,2201,7.042,1,0.003,1
Mauritius,Africa,218229,17159.498,0,0,0,990,77.844,0,0,0
Kyrgyzstan,Europe,200982,3080.566,12,0.184,2,2991,45.845,0,0,0
Lao People's Democratic Republic,Western Pacific,200502,2755.829,4375,60.133,312,722,9.924,22,0.302,4
Iceland,Europe,183974,50523.708,214,58.77,0,110,30.209,0,0,0
Maldives,South-East Asia,178883,33093.143,190,35.15,0,298,55.13,0,0,0
Afghanistan,Eastern Mediterranean,178513,458.568,322,0.827,95,7680,19.729,5,0.013,2
Uganda,Africa,164005,358.551,61,0.133,0,3597,7.864,0,0,0
El Salvador,Americas,162089,2498.981,0,0,0,4125,63.597,3,0.046,1
Ghana,Africa,161101,518.461,0,0,0,1445,4.65,0,0,0
Namibia,Africa,158001,6218.296,87,3.424,0,4022,158.29,1,0.039,0
Martinique,Americas,149259,39774.293,1211,322.705,0,918,244.627,0,0,0
Guadeloupe,Americas,145228,36295.748,2655,663.544,0,941,235.177,1,0.25,0
Trinidad and Tobago,Americas,142222,10162.431,1890,135.049,0,3800,271.528,20,1.429,0
Brunei Darussalam,Western Pacific,140182,32043.138,1371,313.386,159,158,36.116,2,0.457,0
Cambodia,Western Pacific,136076,813.902,113,0.676,16,3055,18.273,0,0,0
Rwanda,Africa,129769,1001.906,10,0.077,0,1459,11.264,0,0,0
Jamaica,Americas,129238,4364.428,188,6.349,35,2929,98.914,13,0.439,3
Cameroon,Africa,119725,451.012,0,0,0,1927,7.259,0,0,0
Angola,Africa,99287,302.094,93,0.283,0,1900,5.781,0,0,0
Malta,Europe,89028,17301.638,2433,472.827,199,677,131.568,13,2.526,2
Democratic Republic of the Congo,Africa,86767,96.88,0,0,0,1337,1.493,0,0,0
Senegal,Africa,85968,513.428,16,0.096,0,1965,11.736,0,0,0
Malawi,Africa,85728,448.135,23,0.12,0,2632,13.759,4,0.021,1
Côte d’Ivoire,Africa,81861,310.335,32,0.121,0,797,3.021,0,0,0
French Guiana,Americas,80035,26796.057,506,169.411,0,394,131.913,0,0,0
Suriname,Americas,79276,13513.753,35,5.966,0,1325,225.866,0,0,0
French Polynesia,Western Pacific,72621,25852.236,51,18.155,25,648,230.681,0,0,0
Eswatini,Africa,70102,6042.422,112,9.654,0,1395,120.242,0,0,0
Barbados,Americas,64630,22489.778,2416,840.713,282,384,133.623,5,1.74,3
Fiji,Western Pacific,64513,7196.537,14,1.562,11,862,96.158,28,3.123,0
Madagascar,Africa,64121,231.559,32,0.116,0,1391,5.023,1,0.004,0
Guyana,Americas,63371,8056.81,45,5.721,3,1228,156.124,2,0.254,0
Sudan,Eastern Mediterranean,62079,141.574,22,0.05,4,4929,11.241,0,0,0
New Caledonia,Western Pacific,60521,21198.397,23,8.056,0,312,109.283,0,0,0
Mauritania,Africa,58683,1262.093,4,0.086,2,982,21.12,0,0,0
Belize,Americas,57331,14418.25,44,11.066,0,672,169.002,8,2.012,0
Cabo Verde,Africa,55991,10070.559,17,3.058,0,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55778,318.719,33,0.189,5,3150,17.999,4,0.023,0
Bhutan,South-East Asia,54592,7075.095,9536,1235.861,1488,19,2.462,5,0.648,1
Jersey,Europe,48644,45125.979,482,447.141,0,122,113.177,1,0.928,0
Gabon,Africa,47594,2138.351,3,0.135,0,303,13.613,0,0,0
Papua New Guinea,Western Pacific,43663,488.017,137,1.531,0,649,7.254,6,0.067,0
Seychelles,Africa,41634,42333.777,215,218.614,0,163,165.74,0,0,0
Curaçao,Americas,41306,25172.311,504,307.143,0,271,165.15,4,2.438,0
Andorra,Europe,40709,52687.504,381,493.108,0,153,198.02,0,0,0
Guam,Western Pacific,40189,23812.176,136,80.581,136,354,209.747,2,1.185,2
Burundi,Africa,38812,326.404,114,0.959,11,15,0.126,0,0,0
Mayotte,Africa,37038,13576.233,80,29.324,0,187,68.545,0,0,0
Togo,Africa,36967,446.53,10,0.121,4,273,3.298,1,0.012,0
Guinea,Africa,36540,278.235,38,0.289,0,441,3.358,1,0.008,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Aruba,Americas,34264,32092.614,175,163.91,0,212,198.565,0,0,0
United Republic of Tanzania,Africa,33864,56.691,13,0.022,0,803,1.344,0,0,0
Bahamas,Americas,33372,8486.334,12,3.052,0,789,200.639,0,0,0
Lesotho,Africa,32968,1538.943,0,0,0,697,32.536,0,0,0
Mali,Africa,30669,151.446,91,0.449,11,729,3.6,0,0,0
Haiti,Americas,30615,268.493,21,0.184,0,835,7.323,0,0,0
Isle of Man,Europe,30169,35479.584,0,0,0,87,102.314,0,0,0
Benin,Africa,26605,219.455,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26485,166.643,14,0.088,14,1361,8.563,0,0,0
Congo,Africa,24029,435.459,0,0,0,385,6.977,0,0,0
Guernsey,Europe,23684,36737.606,1427,2213.501,0,43,66.7,7,10.858,0
Saint Lucia,Americas,23094,12576.582,57,31.041,0,367,199.862,2,1.089,0
Timor-Leste,South-East Asia,22853,1733.33,9,0.683,0,130,9.86,0,0,0
Cayman Islands,Americas,21406,32571.516,285,433.658,0,27,41.083,1,1.522,0
Burkina Faso,Africa,20865,99.817,0,0,0,383,1.832,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17408,155.516,52,0.465,4,138,1.233,0,0,0
Gibraltar,Europe,17236,51159.063,0,0,0,101,299.783,0,0,0
Liechtenstein,Europe,16818,43404.651,0,0,0,82,211.629,0,0,0
San Marino,Europe,15981,47088.809,199,586.363,2,114,335.907,0,0,0
Equatorial Guinea,Africa,15906,1133.726,0,0,0,183,13.044,0,0,0
United States Virgin Islands,Americas,15882,15209.002,98,93.847,0,111,106.296,0,0,0
Djibouti,Eastern Mediterranean,15598,1578.745,3,0.304,0,189,19.13,0,0,0
Central African Republic,Africa,14354,297.199,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,14339,216.452,33,0.498,0,232,3.502,1,0.015,0
Grenada,Americas,14165,12588.537,101,89.759,0,219,194.627,0,0,0
Bermuda,Americas,12901,20716.844,138,221.605,0,131,210.364,1,1.606,0
Solomon Islands,Western Pacific,12437,1810.641,432,62.893,152,139,20.236,2,0.291,0
Gambia,Africa,11994,496.303,0,0,0,365,15.103,0,0,0
Dominica,Americas,11988,16652.082,20,27.781,0,63,87.511,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11818,39.623,4,0.013,1,2148,7.202,1,0.003,0
Monaco,Europe,11442,29156.049,248,631.944,36,56,142.697,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11221,19495.457,18,31.273,19,34,59.072,0,0,0
Saint Martin,Americas,10222,26441.45,93,240.565,0,44,113.816,0,0,0
Sint Maarten,Americas,9873,23023.646,86,200.55,0,86,200.55,0,0,0
Eritrea,Africa,9733,274.446,1,0.028,0,103,2.904,0,0,0
Tonga,Western Pacific,9025,8538.72,581,549.695,264,11,10.407,2,1.892,0
Niger,Africa,8883,36.697,37,0.153,6,308,1.272,0,0,0
Saint Vincent and the Grenadines,Americas,8352,7528.394,8,7.211,0,106,95.547,0,0,0
Guinea-Bissau,Africa,8182,415.752,7,0.356,0,171,8.689,1,0.051,0
Comoros,Africa,8103,931.807,3,0.345,0,160,18.399,0,0,0
Sierra Leone,Africa,7677,96.239,0,0,0,125,1.567,0,0,0
Bonaire,Americas,7663,36638.776,0,0,0,28,133.875,0,0,0
Antigua and Barbuda,Americas,7539,7698.435,16,16.338,0,135,137.855,0,0,0
Liberia,Africa,7432,146.945,4,0.079,0,294,5.813,0,0,0
Chad,Africa,7396,45.027,18,0.11,18,193,1.175,1,0.006,1
Vanuatu,Western Pacific,6393,2081.427,906,294.975,764,7,2.279,3,0.977,1
British Virgin Islands,Americas,6162,20379.006,0,0,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5953,2716.293,5,2.281,0,73,33.309,0,0,0
Samoa,Western Pacific,5947,2997.268,2282,1150.12,1855,12,6.048,5,2.52,3
Turks and Caicos Islands,Americas,5936,15331.37,13,33.576,0,36,92.98,0,0,0
American Samoa,Western Pacific,5663,10259.616,229,414.878,128,21,38.046,9,16.305,3
Saint Kitts and Nevis,Americas,5559,10450.82,5,9.4,0,43,80.839,0,0,0
Saint Barthélemy,Americas,4368,44188.164,135,1365.706,0,4,40.465,0,0,0
Palau,Western Pacific,4190,23159.407,92,508.512,68,6,33.164,0,0,0
Cook Islands,Western Pacific,3941,22437.941,504,2869.506,253,0,0,0,0,0
Kiribati,Western Pacific,3075,2574.32,6,5.023,6,13,10.883,0,0,0
Anguilla,Americas,2731,18204.239,14,93.321,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,2537,43779.12,119,2053.494,0,1,17.256,0,0,0
Sint Eustatius,Americas,886,28225.55,35,1115.005,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,495,25607.863,126,6518.365,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,1,8.892,0,7,62.244,0,0,0
Montserrat,Americas,176,3520.704,1,20.004,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,131,3761.125,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,14,23.651,7,11.826,7,0,0,0,0,0
Niue,Western Pacific,7,432.633,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
